x,y,z,colorb_v,colorv_i,lum,Mv,mv,hipno,vx,vy,vz,speed,starname
-30.05,47.57,25.02,0.59,0.66,0.0164,4.5,8.4,705,-36.72,-92.20,-43.84,108.50,"0008+8647"
-119.59,265.68,-115.69,1.57,1.59,1.84,-0.7,6.8,714,14.93,-16.40,5.15,22.77,"0008+4029"
-37.02,96.58,-76.31,0.98,0.97,0.527,0.7,6.2,716,-65.07,13.10,14.71,67.99,"0008+2528"
31.80,50.39,-310.80,1.64,2.25,1.41,-0.4,7.1,720,36.49,19.60,11.32,42.94,"0008-2210"
-15.29,27.92,2.19,0.89,0.89,0.0038,6.1,8.6,723,15.22,-50.10,-0.25,52.36,"0008+6627"
-35.55,89.37,-64.14,0.24,0.27,0.345,1.2,6.5,728,5.78,18.56,0.44,19.44,"0009+2815"
-21.13,61.40,-61.64,1.04,0.99,0.474,0.8,5.6,729,-33.99,-32.70,3.76,47.31,"0009+1813 87 Peg"
48.42,-46.35,-126.15,0.74,0.81,0.605,0.5,6.3,730,-21.30,8.24,-2.60,22.99,"0009-5400"
-7.70,14.78,-0.95,0.38,0.40,0.341,1.2,2.3,746,-30.71,8.11,-14.57,34.94,"0009+5909 bet Cas Caph"
-13.05,33.95,-27.02,0.68,0.74,0.0159,4.5,7.8,754,-9.47,-20.98,-21.02,31.17,"0009+2516"
-28.00,51.55,2.62,0.93,0.93,0.0537,3.2,7.0,755,-27.55,5.22,12.65,30.76,"0009+6504"
-57.50,95.78,34.16,0.20,0.22,0.538,0.7,6.0,760,-41.27,-6.99,-24.22,48.36,"0009+7943"
10.10,4.76,-67.72,0.41,0.48,0.32,1.2,5.4,761,-8.68,2.39,-4.20,9.93,"0009-2759 kap1 Scl"
12.17,-8.73,-40.26,1.01,1.00,0.518,0.7,3.9,765,-0.08,-26.24,23.73,35.38,"0009-4545 eps Phe"
-83.26,175.14,-55.14,0.03,0.05,0.551,0.6,7.2,767,5.85,3.61,-5.26,8.66,"0009+4623"
-17.70,50.27,-49.10,0.66,0.72,0.035,3.6,7.9,768,-73.51,-42.39,21.44,87.52,"0009+1906"
-46.23,130.20,-125.37,1.00,0.98,0.32,1.2,7.6,773,13.02,-18.05,-32.19,39.13,"0009+1933"
-99.12,185.23,0.68,1.56,2.22,0.0753,2.8,9.4,779,53.67,-61.70,9.62,82.34,"0009+6240"
-311.32,628.87,-133.46,1.50,3.51,0.444,0.9,10.2,781,11.74,-17.04,-11.94,23.89,"0009+5134"
31.93,-10.89,-140.95,0.44,0.51,0.096,2.5,8.3,786,48.33,17.84,14.62,53.55,"0009-3718"
7.42,0.40,-41.25,0.96,1.01,0.00271,6.4,9.5,787,-37.55,-63.94,-16.34,75.94,"0009-3149"
-26.45,164.38,-333.93,1.61,1.63,2.56,-1.0,6.8,803,15.84,0.29,-21.33,26.57,"0009-0233"
-75.08,310.20,-494.12,1.17,1.13,1.38,-0.3,8.5,806,3.14,2.53,-21.56,21.93,"0009+0409"
20.78,16.41,-160.70,0.14,0.15,0.229,1.6,7.7,810,-28.95,5.49,5.86,30.05,"0009-2552"
-18.41,60.72,-76.78,-0.06,-0.04,0.603,0.5,5.5,813,-5.86,18.48,-5.30,20.10,"0010+1109 34 Psc"
34.71,-50.26,-42.40,1.05,0.98,0.423,0.9,5.3,814,24.74,5.07,5.89,25.93,"0010-8213 gam3 Oct"
-57.50,120.37,-37.96,0.25,0.28,0.191,1.8,7.5,817,12.90,-3.52,0.38,13.37,"0010+4623"
-2.72,22.18,-50.26,0.97,0.93,0.14,2.1,5.8,840,4.10,15.37,-19.15,24.90,"0010-0515"
-127.71,267.45,-86.15,0.41,0.55,9.44,-2.4,5.0,841,7.14,5.64,9.03,12.82,"0010+4604 22 And"
-88.41,249.11,-247.80,1.12,1.08,0.257,1.5,9.3,843,-11.46,-3.80,24.24,27.08,"0010+1839"
-86.31,211.93,-150.66,1.53,2.64,1.08,-0.1,7.1,852,27.03,1.85,-4.19,27.41,"0010+2839"
-16.93,50.57,-56.18,0.49,0.56,0.0303,3.8,8.2,856,43.70,10.78,-1.87,45.05,"0010+1513"
-70.24,135.62,-14.07,-0.07,-0.05,0.474,0.8,6.7,857,-4.06,10.64,4.06,12.09,"0010+5709"
-72.57,169.72,-102.16,1.43,1.42,0.825,0.2,6.8,858,37.44,16.78,17.93,44.77,"0010+3307"
-280.51,532.31,-29.32,-0.02,0.01,7.58,-2.2,6.7,860,-5.67,3.79,-4.76,8.32,"0010+5940"
28.93,-38.43,-45.78,0.37,0.43,0.0956,2.5,6.7,865,-31.89,9.83,6.73,34.04,"0010-7313"
-259.07,507.47,-75.15,0.67,0.73,0.853,0.2,9.0,871,17.68,12.51,6.96,22.74,"0010+5453"
0.78,19.46,-62.17,1.00,1.01,0.196,1.8,5.8,873,-25.37,-13.56,-11.13,30.84,"0010-1235"
-42.10,94.27,-47.48,0.41,0.47,0.101,2.5,7.8,880,-7.77,-15.28,21.97,27.87,"0010+3728"
13.81,46.30,-215.40,1.30,3.10,0.377,1.1,7.8,893,46.16,-11.71,17.37,50.69,"0010-1834"
-25.62,61.84,-42.64,0.43,0.50,0.0239,4.1,8.6,895,20.57,24.31,-4.19,32.12,"0011+2933"
